,0,lat,long
352,Pembina Hwy & University Cres,49.929297,-97.07071099999999
353,PTH 101 & Gunn Rd,49.929297,-97.07071099999999
354,Pembina Hwy & Thatcher Dr,49.929297,-97.07071099999999
355,Inkster Blvd & Paramount Rd,49.929297,-97.07071099999999
356,PTH 9 & Ramp PTH 9 NB to PTH 101 EB,49.929297,-97.07071099999999
357,Broadway & Langside St,49.929297,-97.07071099999999
358,PTH 101 & Dugald Rd,49.929297,-97.07071099999999
359,PTH 100 & Sumka Rd,49.929297,-97.07071099999999
360,Courchaine Rd & Turnbull Dr,49.929297,-97.07071099999999
361,PTH 100 & St Mary's Rd,49.929297,-97.07071099999999
362,Eldridge Ave & Oakdale Dr,49.929297,-97.07071099999999
363,Eldridge Ave & Hilton St,49.929297,-97.07071099999999
364,Eldridge Ave & Mayfield Cres,49.929297,-97.07071099999999
365,Daly St S & Rosedale Ave,49.929297,-97.07071099999999
366,Daly St S & Hethrington Ave,49.929297,-97.07071099999999
367,Lindenwood Dr W & Wallingford Cres,49.929297,-97.07071099999999
368,PTH 101 & Ramp PTH 9 SB to PTH 101 WB,49.929297,-97.07071099999999
369,PTH 100 & Ramp NB PTH 100 to EB PTH 1,49.929297,-97.07071099999999
370,Empress St & St Matthews Ave,49.929297,-97.07071099999999
371,Pembina Hwy & Wentworth St,49.929297,-97.07071099999999
372,Scurfield Blvd & Waverley St,49.929297,-97.07071099999999
373,Daly St S & Morley Ave,49.929297,-97.07071099999999
374,Ridgewood Ave & Oakdale Dr,49.929297,-97.07071099999999
375,Ridgewood Ave & Laxdal Rd,49.929297,-97.07071099999999
376,Turnbull Dr & Pembina Hwy,49.929297,-97.07071099999999
377,Hawkins Cres & Polydore Rd,49.929297,-97.07071099999999
378,Polydore Rd & Novavista Dr,49.929297,-97.07071099999999
379,Hay St & Clare Ave,49.929297,-97.07071099999999
380,Hay St & Churchill Dr,49.929297,-97.07071099999999
381,Hay St & Morley Ave,49.929297,-97.07071099999999
382,Nassau St S & Rosedale Ave,49.929297,-97.07071099999999
383,Grant Ave & Wilton St,49.929297,-97.07071099999999
384,PTH 100 & Waverley St,49.929297,-97.07071099999999
385,PTH 100 & Wyper Rd,49.929297,-97.07071099999999
386,McGillivray Blvd & PTH 100,49.929297,-97.07071099999999
387,Aldgate Rd & Abbotsfield Dr,49.929297,-97.07071099999999
388,Kimberly Ave & Watt St,49.929297,-97.07071099999999
389,,49.929297,-97.07071099999999
390,Bond St & Pandora Ave W,49.929297,-97.07071099999999
391,Pandora Ave W & Winona St,49.929297,-97.07071099999999
392,PTH 100 & PTH 2,49.929297,-97.07071099999999
393,Cullen Dr & Dale Blvd,49.929297,-97.07071099999999
394,Wilkes Ave & Charleswood Rd,49.929297,-97.07071099999999
395,Talbot Ave & Stapleton St,49.929297,-97.07071099999999
396,Nathaniel St & Taylor Ave,49.929297,-97.07071099999999
397,Talbot Ave & Kent Rd,49.929297,-97.07071099999999
398,Panet Rd & Warman Rd,49.929297,-97.07071099999999
399,Des Meurons St & Goulet St,49.929297,-97.07071099999999
400,Des Meurons St & Guay Ave,49.929297,-97.07071099999999
401,Des Meurons St & St Luc St,49.929297,-97.07071099999999
402,Des Meurons St & Essex Ave,49.929297,-97.07071099999999
403,Des Meurons St & Regal Ave,49.929297,-97.07071099999999
404,St Anne's Rd & Woodydell Ave,49.929297,-97.07071099999999
405,St Anne's Rd & Novavista Dr,49.929297,-97.07071099999999
406,Compark Rd & St Anne's Rd,49.929297,-97.07071099999999
407,St Anne's Rd & Southglen Blvd,49.929297,-97.07071099999999
408,St Anne's Rd & Warde Ave,49.929297,-97.07071099999999
409,Kimberly Ave & Grey St,49.929297,-97.07071099999999
410,Watt St & Helmsdale Ave,49.929297,-97.07071099999999
411,Watt St & Chelsea Ave,49.929297,-97.07071099999999
412,Brazier St & Kimberly Ave,49.929297,-97.07071099999999
413,St Anne's Rd & Rose Ave,49.929297,-97.07071099999999
414,St Anne's Rd & Niakwa Rd,49.929297,-97.07071099999999
415,St Anne's Rd & Mager Dr E,49.929297,-97.07071099999999
416,St Anne's Rd & Meadowood Dr,49.929297,-97.07071099999999
417,St Anne's Rd & Sadler Ave,49.929297,-97.07071099999999
418,Kimberly Ave & Henderson Hwy,49.929297,-97.07071099999999
419,John Forsyth Rd & Manorhaven Dr,49.929297,-97.07071099999999
420,Hoka St & Pandora Ave W,49.929297,-97.07071099999999
421,Kernaghan Ave & Plessis Rd,49.929297,-97.07071099999999
422,Plessis Rd & Regent Ave W,49.929297,-97.07071099999999
423,Plessis Rd & Peake Ave,49.929297,-97.07071099999999
424,Pandora Ave W & Plessis Rd,49.929297,-97.07071099999999
425,Pandora Ave W & Robson St,49.929297,-97.07071099999999
426,Hartford Ave & Parr St,49.929297,-97.07071099999999
