,Count Date,Location Description,Count Direction,Count 15 Minutes,Configuration,Study ID,Street,Street From,Street To,lat,long
52928,2002-04-30 07:15:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,145.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52931,2002-04-30 07:29:59,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Northbound,327.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52932,2002-04-30 07:29:59,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,193.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52933,2002-04-30 07:45:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Northbound,347.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52934,2002-04-30 07:45:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,200.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52935,2002-04-30 08:00:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Northbound,283.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52936,2002-04-30 08:00:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,175.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52937,2002-04-30 08:14:59,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Northbound,325.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52938,2002-04-30 08:14:59,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,212.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52939,2002-04-30 08:30:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Northbound,360.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52940,2002-04-30 08:30:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,243.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52941,2002-04-30 08:45:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Northbound,331.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52942,2002-04-30 08:45:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,242.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
